"name","datetime","temp","feelslike","dew","humidity","precip","precipprob","preciptype","snow","snowdepth","windgust","windspeed","winddir","pressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","conditions","icon","stations"
"An Giang, Việt Nam","2024-10-29T10:00:00","29.0","32.6","22.9","69.68","0.8","71.0","[rain]","0.0","0.0","10.8","8.3","289.8","1009.0","52.5","24.1","729.0","2.6","7.0","10.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T11:00:00","29.7","33.7","23.1","67.73","1.1","71.0","[rain]","0.0","0.0","13.3","11.2","257.3","1008.0","80.1","7.5","796.0","2.9","8.0","10.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T12:00:00","29.6","33.6","23.1","68.12","2.2","71.0","[rain]","0.0","0.0","14.0","11.9","249.8","1007.0","47.4","19.8","636.0","2.3","6.0","10.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T13:00:00","30.2","34.5","23.2","66.21","1.8","71.0","[rain]","0.0","0.0","15.8","13.3","259.0","1007.0","79.1","19.7","768.0","2.8","8.0","10.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T14:00:00","29.7","33.9","23.3","68.55","2.1","93.5","[rain]","0.0","0.0","15.8","13.7","255.8","1006.0","42.9","9.2","493.0","1.8","5.0","10.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T15:00:00","29.3","33.5","23.5","71.01","2.4","93.5","[rain]","0.0","0.0","18.7","16.6","243.5","1006.0","68.7","4.5","593.0","2.1","6.0","30.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T16:00:00","28.4","32.3","23.7","75.72","2.1","93.5","[rain]","0.0","0.0","22.7","19.1","237.2","1006.0","94.2","18.9","393.0","1.4","4.0","30.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T17:00:00","27.4","30.7","23.9","81.24","1.4","93.5","[rain]","0.0","0.0","26.3","17.3","229.8","1007.0","100.0","17.1","150.0","0.5","2.0","30.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T18:00:00","26.2","26.2","23.7","86.14","2.3","93.5","[rain]","0.0","0.0","27.7","15.1","230.0","1007.0","100.0","21.6","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T19:00:00","26.2","26.2","23.8","86.66","1.0","93.5","[rain]","0.0","0.0","27.0","13.0","236.7","1008.0","98.7","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T20:00:00","26.0","26.0","23.8","87.69","0.1","71.0","[rain]","0.0","0.0","25.2","9.7","245.1","1009.0","99.8","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T21:00:00","25.9","25.9","23.9","88.75","0.1","71.0","[rain]","0.0","0.0","20.9","8.3","235.6","1009.0","100.0","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T22:00:00","25.8","25.8","24.0","89.81","0.3","71.0","[rain]","0.0","0.0","15.8","7.2","242.7","1009.0","96.6","23.5","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T23:00:00","25.9","25.9","23.9","88.75","0.4","71.0","[rain]","0.0","0.0","13.3","7.6","258.3","1009.0","97.2","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T00:00:00","23.7","23.7","22.8","94.71","0.1","71.0","[rain]","0.0","0.0","8.3","6.1","324.2","1008.0","100.0","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T01:00:00","23.6","23.6","22.7","94.7","0.2","71.0","[rain]","0.0","0.0","7.9","5.8","310.7","1007.0","98.9","22.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T02:00:00","23.5","23.5","22.7","95.28","0.4","93.5","[rain]","0.0","0.0","9.0","6.5","310.5","1006.0","98.2","10.0","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T03:00:00","23.4","23.4","22.8","96.44","0.9","93.5","[rain]","0.0","0.0","7.2","5.4","305.3","1006.0","98.9","11.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T04:00:00","23.5","23.5","22.8","95.85","0.2","93.5","[rain]","0.0","0.0","6.5","4.7","306.0","1007.0","81.1","24.1","0.0","0.0","0.0","10.0","Rain, Partially cloudy","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T05:00:00","23.4","23.4","22.6","95.27","0.0","93.5","[rain]","0.0","0.0","5.0","4.3","308.1","1007.0","91.5","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T06:00:00","23.6","23.6","22.7","94.7","0.0","93.5","[rain]","0.0","0.0","5.4","4.3","302.9","1008.0","98.6","24.1","2.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T07:00:00","24.1","24.1","23.0","93.58","0.0","93.5","[rain]","0.0","0.0","7.9","4.3","287.2","1009.0","97.9","24.1","36.0","0.1","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T08:00:00","24.7","24.7","23.2","91.38","0.0","93.5","[rain]","0.0","0.0","11.9","7.2","294.3","1009.0","50.0","24.1","103.0","0.4","1.0","10.0","Rain, Partially cloudy","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T09:00:00","26.6","26.6","23.5","83.12","0.1","93.5","[rain]","0.0","0.0","20.9","12.6","275.6","1010.0","23.9","24.1","497.0","1.8","5.0","10.0","Rain, Partially cloudy","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T10:00:00","28.1","31.6","23.5","76.13","0.2","93.5","[rain]","0.0","0.0","22.0","15.1","271.1","1009.0","58.6","7.3","750.0","2.7","8.0","10.0","Rain, Partially cloudy","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T11:00:00","27.7","31.2","23.9","79.83","1.1","93.5","[rain]","0.0","0.0","20.5","15.5","256.3","1008.0","95.1","7.4","678.0","2.4","7.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T12:00:00","26.7","26.7","24.1","85.67","1.1","93.5","[rain]","0.0","0.0","20.2","15.1","247.3","1008.0","55.9","9.4","397.0","1.4","4.0","10.0","Rain, Partially cloudy","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T13:00:00","27.3","30.9","24.7","85.73","1.8","93.5","[rain]","0.0","0.0","24.8","18.7","248.7","1007.0","58.0","4.9","777.0","2.8","8.0","30.0","Rain, Partially cloudy","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T14:00:00","26.8","29.8","24.5","87.24","2.0","83.9","[rain]","0.0","0.0","27.7","20.2","254.1","1006.0","66.0","5.4","568.0","2.0","6.0","30.0","Rain, Partially cloudy","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T15:00:00","26.8","29.7","24.4","86.72","1.3","83.9","[rain]","0.0","0.0","29.2","19.4","257.0","1006.0","25.2","6.0","439.0","1.6","4.0","30.0","Rain, Partially cloudy","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T16:00:00","26.6","26.6","24.2","86.7","1.0","83.9","[rain]","0.0","0.0","29.5","19.1","253.9","1006.0","30.8","6.5","384.0","1.4","4.0","30.0","Rain, Partially cloudy","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T17:00:00","25.6","25.6","23.8","89.8","1.0","83.9","[rain]","0.0","0.0","30.2","16.2","253.7","1007.0","60.3","8.2","150.0","0.5","2.0","10.0","Rain, Partially cloudy","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T18:00:00","24.7","24.7","23.4","92.49","1.4","83.9","[rain]","0.0","0.0","31.7","13.7","257.8","1007.0","99.6","7.3","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T19:00:00","24.2","24.2","23.3","94.73","1.9","83.9","[rain]","0.0","0.0","31.0","11.2","264.1","1008.0","100.0","10.9","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T20:00:00","24.1","24.1","23.3","95.3","1.3","77.4","[rain]","0.0","0.0","29.5","9.4","276.7","1009.0","100.0","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T21:00:00","24.2","24.2","23.3","94.73","0.1","77.4","[rain]","0.0","0.0","21.2","8.3","292.9","1009.0","100.0","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T22:00:00","24.1","24.1","23.3","95.3","0.0","77.4","[rain]","0.0","0.0","19.4","7.9","287.2","1009.0","100.0","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bà Rịa, Việt Nam","2024-10-29T23:00:00","24.2","24.2","23.4","95.3","0.3","77.4","[rain]","0.0","0.0","20.9","7.9","294.7","1009.0","96.1","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bắc Giang, Việt Nam","2024-10-29T00:00:00","21.6","21.6","16.0","70.46","0.1","12.9","[rain]","0.0","0.0","27.0","10.1","355.0","1011.0","100.0","23.6","0.0","0.0","0.0","10.0","Overcast","cloudy","null"
"Bắc Giang, Việt Nam","2024-10-29T01:00:00","21.7","21.7","15.6","68.27","0.1","12.9","[rain]","0.0","0.0","23.4","10.8","349.7","1011.0","100.0","24.1","0.0","0.0","0.0","10.0","Overcast","cloudy","null"
"Bắc Giang, Việt Nam","2024-10-29T02:00:00","21.7","21.7","15.3","66.97","0.0","71.0","[rain]","0.0","0.0","28.4","13.0","350.3","1011.0","100.0","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bắc Giang, Việt Nam","2024-10-29T03:00:00","21.8","21.8","15.0","65.29","0.0","71.0","[rain]","0.0","0.0","30.2","14.4","358.2","1010.0","99.2","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bắc Giang, Việt Nam","2024-10-29T04:00:00","21.7","21.7","14.9","65.26","0.0","71.0","[rain]","0.0","0.0","27.0","12.6","1.5","1010.0","99.3","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bắc Giang, Việt Nam","2024-10-29T05:00:00","21.7","21.7","15.0","65.69","0.2","71.0","[rain]","0.0","0.0","25.9","10.8","356.6","1011.0","100.0","23.0","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bắc Giang, Việt Nam","2024-10-29T06:00:00","21.6","21.6","15.1","66.52","0.4","71.0","[rain]","0.0","0.0","20.5","10.4","340.5","1012.0","99.6","22.5","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bắc Giang, Việt Nam","2024-10-29T07:00:00","21.4","21.4","15.4","68.65","0.2","71.0","[rain]","0.0","0.0","26.3","15.5","350.7","1012.0","100.0","24.1","3.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bắc Giang, Việt Nam","2024-10-29T08:00:00","20.7","20.7","16.0","74.47","0.2","41.9","[rain]","0.0","0.0","36.0","15.1","360.0","1013.0","100.0","24.1","11.0","0.0","0.0","10.0","Overcast","cloudy","null"
"Bắc Giang, Việt Nam","2024-10-29T09:00:00","20.1","20.1","16.5","79.78","0.2","41.9","[rain]","0.0","0.0","31.0","13.0","348.2","1013.0","100.0","24.0","20.0","0.1","0.0","10.0","Overcast","cloudy","null"
"Bắc Giang, Việt Nam","2024-10-29T10:00:00","20.0","20.0","16.6","80.79","0.2","41.9","[rain]","0.0","0.0","26.6","14.0","333.3","1013.0","98.4","24.1","27.0","0.1","0.0","10.0","Overcast","cloudy","null"
"Bắc Giang, Việt Nam","2024-10-29T11:00:00","21.1","21.1","16.6","75.49","0.0","41.9","null","0.0","0.0","23.8","14.4","325.6","1012.0","94.1","24.1","83.0","0.3","1.0","10.0","Overcast","cloudy","null"
"Bắc Giang, Việt Nam","2024-10-29T12:00:00","22.3","22.3","16.6","70.15","0.0","41.9","null","0.0","0.0","23.8","16.2","320.1","1011.0","73.4","24.1","174.0","0.6","2.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Giang, Việt Nam","2024-10-29T13:00:00","25.2","25.2","16.5","58.54","0.0","41.9","null","0.0","0.0","21.2","15.1","334.0","1010.0","84.6","24.1","490.0","1.8","5.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Giang, Việt Nam","2024-10-29T14:00:00","27.3","27.8","16.5","51.71","0.0","6.5","null","0.0","0.0","19.4","14.8","355.2","1009.0","65.8","24.1","647.0","2.3","6.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Giang, Việt Nam","2024-10-29T15:00:00","27.4","27.9","16.5","51.4","0.0","6.5","null","0.0","0.0","19.1","16.9","10.0","1009.0","46.2","24.1","533.0","1.9","5.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Giang, Việt Nam","2024-10-29T16:00:00","26.4","26.4","16.7","55.21","0.0","6.5","null","0.0","0.0","18.4","16.2","19.9","1009.0","48.7","24.1","336.0","1.2","3.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Giang, Việt Nam","2024-10-29T17:00:00","25.0","25.0","17.4","62.72","0.0","6.5","null","0.0","0.0","11.9","8.6","3.1","1009.0","92.8","24.1","121.0","0.4","1.0","10.0","Overcast","cloudy","null"
"Bắc Giang, Việt Nam","2024-10-29T18:00:00","23.9","23.9","16.9","64.9","0.0","6.5","null","0.0","0.0","4.3","4.3","334.3","1010.0","69.6","24.1","0.0","0.0","0.0","10.0","Partially cloudy","partly-cloudy-night","null"
"Bắc Giang, Việt Nam","2024-10-29T19:00:00","23.3","23.3","17.0","67.72","0.0","6.5","null","0.0","0.0","2.5","1.4","317.4","1011.0","13.0","24.1","0.0","0.0","0.0","10.0","Clear","clear-night","null"
"Bắc Giang, Việt Nam","2024-10-29T20:00:00","22.8","22.8","17.0","69.8","0.0","3.2","null","0.0","0.0","2.2","1.1","308.7","1012.0","11.4","24.1","0.0","0.0","0.0","10.0","Clear","clear-night","null"
"Bắc Giang, Việt Nam","2024-10-29T21:00:00","22.5","22.5","17.1","71.53","0.0","3.2","null","0.0","0.0","1.8","1.4","288.6","1012.0","56.0","24.1","0.0","0.0","0.0","10.0","Partially cloudy","partly-cloudy-night","null"
"Bắc Giang, Việt Nam","2024-10-29T22:00:00","22.5","22.5","17.1","71.53","0.0","3.2","null","0.0","0.0","2.2","1.8","323.0","1012.0","39.5","24.1","0.0","0.0","0.0","10.0","Partially cloudy","partly-cloudy-night","null"
"Bắc Giang, Việt Nam","2024-10-29T23:00:00","22.0","22.0","17.0","73.28","0.0","3.2","null","0.0","0.0","4.7","4.7","351.6","1012.0","54.7","24.1","0.0","0.0","0.0","10.0","Partially cloudy","partly-cloudy-night","null"
"Bắc Kạn, Việt Nam","2024-10-29T00:00:00","16.8","16.8","15.1","89.71","0.0","0.0","null","0.0","0.0","3.2","3.6","36.8","1014.0","57.9","24.1","0.0","0.0","0.0","10.0","Partially cloudy","partly-cloudy-night","null"
"Bắc Kạn, Việt Nam","2024-10-29T01:00:00","16.9","16.9","15.0","88.57","0.0","0.0","null","0.0","0.0","4.3","4.0","32.0","1013.0","79.5","24.1","0.0","0.0","0.0","10.0","Partially cloudy","partly-cloudy-night","null"
"Bắc Kạn, Việt Nam","2024-10-29T02:00:00","17.4","17.4","14.9","85.26","0.0","41.9","null","0.0","0.0","5.0","4.0","35.0","1012.0","92.2","24.1","0.0","0.0","0.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T03:00:00","17.6","17.6","14.8","83.65","0.0","41.9","null","0.0","0.0","4.0","3.6","28.3","1012.0","100.0","24.1","0.0","0.0","0.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T04:00:00","17.8","17.8","14.5","81.02","0.0","41.9","null","0.0","0.0","4.3","3.6","23.3","1012.0","100.0","24.1","0.0","0.0","0.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T05:00:00","17.8","17.8","14.3","79.98","0.0","41.9","null","0.0","0.0","5.0","4.0","28.2","1013.0","99.8","24.1","0.0","0.0","0.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T06:00:00","17.7","17.7","14.0","78.93","0.0","41.9","null","0.0","0.0","4.7","4.0","28.5","1013.0","98.8","24.1","0.0","0.0","0.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T07:00:00","18.0","18.0","14.2","78.47","0.0","41.9","null","0.0","0.0","4.7","3.2","33.1","1014.0","98.8","24.1","15.0","0.1","0.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T08:00:00","19.1","19.1","14.4","74.2","0.0","16.1","null","0.0","0.0","5.0","2.5","26.7","1014.0","93.9","24.1","76.0","0.3","1.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T09:00:00","21.0","21.0","14.2","65.11","0.0","16.1","null","0.0","0.0","4.3","1.8","36.4","1014.0","80.7","24.1","226.0","0.8","2.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Kạn, Việt Nam","2024-10-29T10:00:00","22.9","22.9","14.3","58.36","0.0","16.1","null","0.0","0.0","5.8","1.8","21.6","1014.0","51.4","24.1","392.0","1.4","4.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Kạn, Việt Nam","2024-10-29T11:00:00","25.4","25.4","14.6","51.21","0.0","16.1","null","0.0","0.0","6.5","1.8","24.1","1013.0","22.8","24.1","677.0","2.4","7.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Kạn, Việt Nam","2024-10-29T12:00:00","26.5","26.5","15.1","49.55","0.0","16.1","null","0.0","0.0","6.8","1.4","46.3","1011.0","46.3","24.1","765.0","2.8","8.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Kạn, Việt Nam","2024-10-29T13:00:00","25.4","25.4","15.9","55.67","0.0","16.1","null","0.0","0.0","6.5","2.5","129.4","1010.0","71.7","24.1","542.0","2.0","5.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Kạn, Việt Nam","2024-10-29T14:00:00","23.3","23.3","16.3","64.77","0.0","6.5","null","0.0","0.0","6.5","4.3","144.9","1010.0","73.2","24.1","322.0","1.2","3.0","10.0","Partially cloudy","partly-cloudy-day","null"
"Bắc Kạn, Việt Nam","2024-10-29T15:00:00","22.5","22.5","16.3","67.99","0.0","6.5","null","0.0","0.0","6.1","4.7","145.6","1010.0","97.9","24.1","260.0","0.9","3.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T16:00:00","21.1","21.1","16.9","76.94","0.0","6.5","null","0.0","0.0","5.0","2.5","136.5","1010.0","97.2","24.1","103.0","0.4","1.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T17:00:00","20.1","20.1","16.6","80.29","0.0","6.5","null","0.0","0.0","2.9","2.5","60.9","1011.0","96.3","24.1","37.0","0.1","0.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T18:00:00","19.9","19.9","16.1","78.74","0.0","6.5","null","0.0","0.0","3.2","3.6","57.7","1011.0","92.7","24.1","0.0","0.0","0.0","10.0","Overcast","cloudy","null"
"Bắc Kạn, Việt Nam","2024-10-29T19:00:00","19.5","19.5","15.8","79.19","0.0","6.5","null","0.0","0.0","2.9","3.2","61.6","1012.0","43.7","24.1","0.0","0.0","0.0","10.0","Partially cloudy","partly-cloudy-night","null"
"Bắc Kạn, Việt Nam","2024-10-29T20:00:00","18.5","18.5","15.4","82.16","0.0","0.0","null","0.0","0.0","2.9","3.2","59.5","1013.0","11.2","24.1","0.0","0.0","0.0","10.0","Clear","clear-night","null"
"Bắc Kạn, Việt Nam","2024-10-29T21:00:00","17.9","17.9","15.1","83.68","0.0","0.0","null","0.0","0.0","2.9","3.2","52.6","1014.0","4.8","24.1","0.0","0.0","0.0","10.0","Clear","clear-night","null"
"Bắc Kạn, Việt Nam","2024-10-29T22:00:00","17.5","17.5","15.0","85.27","0.0","0.0","null","0.0","0.0","2.9","2.9","46.5","1014.0","27.0","24.1","0.0","0.0","0.0","10.0","Partially cloudy","partly-cloudy-night","null"
"Bắc Kạn, Việt Nam","2024-10-29T23:00:00","17.3","17.3","14.9","85.8","0.0","0.0","null","0.0","0.0","2.9","2.9","29.6","1014.0","37.3","24.1","0.0","0.0","0.0","10.0","Partially cloudy","partly-cloudy-night","null"
"Bến Tre, Việt Nam","2024-10-29T00:00:00","23.6","23.6","23.2","97.61","0.1","93.5","[rain]","0.0","0.0","10.8","5.4","8.2","1007.0","99.3","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T01:00:00","23.4","23.4","23.0","97.61","0.3","93.5","[rain]","0.0","0.0","7.9","4.7","16.0","1007.0","100.0","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T02:00:00","23.5","23.5","23.0","97.02","0.2","93.5","[rain]","0.0","0.0","8.6","4.3","345.8","1006.0","100.0","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T03:00:00","23.6","23.6","23.0","96.44","0.0","93.5","[rain]","0.0","0.0","8.6","5.0","310.9","1006.0","99.9","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T04:00:00","23.6","23.6","23.1","97.03","0.0","93.5","[rain]","0.0","0.0","10.8","5.0","328.9","1007.0","94.6","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T05:00:00","23.5","23.5","23.0","97.02","0.0","93.5","[rain]","0.0","0.0","2.2","1.8","337.3","1007.0","98.9","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T06:00:00","23.5","23.5","23.0","97.02","0.0","93.5","[rain]","0.0","0.0","2.9","2.5","246.9","1008.0","93.8","24.1","1.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T07:00:00","24.4","24.4","23.6","95.31","0.0","93.5","[rain]","0.0","0.0","5.4","2.2","230.4","1009.0","70.8","24.1","49.0","0.2","0.0","10.0","Rain, Partially cloudy","rain","null"
"Bến Tre, Việt Nam","2024-10-29T08:00:00","25.3","25.3","23.9","91.97","1.4","90.3","[rain]","0.0","0.0","8.6","4.7","258.8","1009.0","85.2","4.8","210.0","0.8","2.0","10.0","Rain, Partially cloudy","rain","null"
"Bến Tre, Việt Nam","2024-10-29T09:00:00","26.0","26.0","24.3","90.37","1.3","90.3","[rain]","0.0","0.0","12.6","6.8","248.2","1010.0","97.6","17.6","355.0","1.3","4.0","10.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T10:00:00","26.1","26.1","24.5","90.92","1.2","90.3","[rain]","0.0","0.0","18.7","10.4","237.0","1009.0","90.2","5.6","371.0","1.3","4.0","30.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T11:00:00","26.5","26.5","24.9","90.94","1.9","90.3","[rain]","0.0","0.0","25.9","14.0","237.1","1009.0","91.7","6.0","490.0","1.8","5.0","30.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T12:00:00","26.3","26.3","24.4","89.31","1.2","90.3","[rain]","0.0","0.0","29.5","14.8","240.1","1008.0","49.3","7.2","399.0","1.4","4.0","30.0","Rain, Partially cloudy","rain","null"
"Bến Tre, Việt Nam","2024-10-29T13:00:00","27.8","32.2","25.1","85.27","1.0","90.3","[rain]","0.0","0.0","24.8","15.1","240.5","1007.0","71.3","6.1","851.0","3.1","9.0","30.0","Rain, Partially cloudy","rain","null"
"Bến Tre, Việt Nam","2024-10-29T14:00:00","27.1","30.5","24.7","86.75","1.2","80.6","[rain]","0.0","0.0","25.2","13.7","237.6","1006.0","100.0","6.4","524.0","1.9","5.0","30.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T15:00:00","26.8","29.8","24.5","87.24","1.0","80.6","[rain]","0.0","0.0","27.7","11.9","238.2","1006.0","100.0","5.9","304.0","1.1","3.0","30.0","Rain, Overcast","rain","null"
"Bến Tre, Việt Nam","2024-10-29T16:00:00","26.4","26.4","24.3","88.26","1.2","80.6","[rain]","0.0","0.0","27.7","11.5","233.8","1006.0","100.0","5.9","231.0","0.8","2.0","30.0","Rain, Overcast","rain","null"
