"name","datetime","temp","feelslike","dew","humidity","precip","precipprob","preciptype","snow","snowdepth","windgust","windspeed","winddir","pressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","conditions","icon","stations"
"An Giang, Việt Nam","2024-10-29T00:00:00","25.1","25.1","23.6","91.4","0.0","48.4","[rain]","0.0","0.0","13.0","7.2","336.3","1007.0","100.0","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T01:00:00","24.9","24.9","23.5","91.94","0.0","48.4","[rain]","0.0","0.0","11.5","6.1","346.0","1007.0","99.6","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T02:00:00","24.7","24.7","23.4","92.49","0.0","90.3","[rain]","0.0","0.0","8.3","5.8","11.3","1006.0","100.0","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T03:00:00","24.6","24.6","23.3","92.48","0.0","90.3","[rain]","0.0","0.0","7.9","5.0","359.3","1006.0","99.3","24.1","0.0","0.0","0.0","10.0","Rain, Overcast","rain","null"
"An Giang, Việt Nam","2024-10-29T04:00:00","24.4","24.4","23.1","92.47","0.0","90.3","[rain]","0.0","0.0","6.1","5.0","20.1","1006.0","72.8","24.1","0.0","0.0","0.0","10.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T05:00:00","24.2","24.2","23.0","93.02","0.0","90.3","[rain]","0.0","0.0","4.0","4.0","46.4","1007.0","87.8","24.1","0.0","0.0","0.0","10.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T06:00:00","24.4","24.4","23.0","91.91","0.0","90.3","[rain]","0.0","0.0","2.5","2.5","357.7","1008.0","82.0","24.1","1.0","0.0","0.0","10.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T07:00:00","25.1","25.1","22.9","87.62","0.0","90.3","[rain]","0.0","0.0","2.9","3.6","19.3","1009.0","62.9","24.1","64.0","0.2","1.0","10.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T08:00:00","26.3","26.3","22.9","81.59","0.4","71.0","[rain]","0.0","0.0","3.2","4.7","354.0","1009.0","43.2","19.5","306.0","1.1","3.0","10.0","Rain, Partially cloudy","rain","null"
"An Giang, Việt Nam","2024-10-29T09:00:00","27.7","30.7","23.0","75.61","1.5","71.0","[rain]","0.0","0.0","5.4","6.1","341.4","1010.0","60.0","6.2","553.0","2.0","6.0","10.0","Rain, Partially cloudy","rain","null"
